PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,SurvivalLeak,ConstantCol
1,0,3,male,22,7.25,S,0,42
2,1,1,female,38,71.2833,C,1,42
3,1,3,female,26,7.925,S,1,42
4,1,1,female,35,53.1,S,1,42
5,0,3,male,35,8.05,S,0,42
6,0,3,male,,8.4583,Q,0,42
7,0,1,male,54,51.8625,S,0,42
8,0,3,male,2,21.075,S,0,42
9,1,3,female,27,11.1333,S,1,42
10,1,2,female,14,30.0708,C,1,42
11,1,3,female,4,16.7,S,1,42
12,1,1,female,58,26.55,S,1,42
13,0,3,male,20,8.05,S,0,42
14,0,3,male,39,31.275,S,0,42
15,0,3,female,14,7.8542,S,0,42
16,1,2,female,55,16.0,S,1,42
17,0,3,male,2,29.125,Q,0,42
18,1,2,male,,13.0,S,1,42
19,0,3,female,31,18.0,S,0,42
20,1,3,female,35,7.225,C,1,42
21,0,2,male,35,26.0,S,0,42
22,1,2,male,34,13.0,S,1,42
23,1,3,female,15,8.0292,Q,1,42
24,1,1,male,28,35.5,S,1,42
25,0,3,female,8,21.075,S,0,42
26,1,3,female,38,31.3875,S,1,42
27,0,3,male,,7.225,C,0,42
28,0,1,male,19,263.0,S,0,42
29,1,3,female,,7.8792,Q,1,42
30,0,3,male,,7.8958,S,0,42
31,0,1,male,40,27.7208,C,0,42
32,1,1,female,47,146.5208,C,1,42
33,1,3,female,,7.75,Q,1,42
34,0,2,male,66,10.5,S,0,42
35,0,1,male,28,82.0,C,0,42
36,0,1,male,42,52.0,S,0,42
37,1,3,male,,7.2292,C,1,42
38,0,3,male,21,8.05,S,0,42
39,0,3,female,18,18.0,S,0,42
40,1,3,female,14,11.2417,C,1,42
41,0,3,female,40,9.475,S,0,42
42,0,2,female,27,21.0,S,0,42
43,0,3,male,,7.8208,C,0,42
44,1,2,female,3,41.5792,C,1,42
45,1,3,female,19,7.8792,Q,1,42
46,0,3,male,,8.05,S,0,42
47,0,3,male,,51.8625,S,0,42
48,1,3,female,,7.75,Q,1,42
49,0,3,male,,21.6792,C,0,42
50,0,3,female,18,17.8,S,0,42
